id,gpa,undergrad_school,app_school,gmat,gre,ielts,toefl
30317,2.88,河北科技大学,波士顿大学,,317,,98
30199,3.6,南京航空航天大学,波士顿大学,,320,,100
30053,4,澳门大学,波士顿大学,,331,7.5,113
29928,3.78,华东政法大学,波士顿大学,,,,99
29789,4,大连理工大学,波士顿大学,,315,,97
29450,3.56,东南大学,波士顿大学,,322,,103
29300,3.6,上海交通大学,波士顿大学,,316,,102
29249,3.9,中山大学,波士顿大学,,320,,100
28766,3.3,重庆大学,波士顿大学,,322,,100
28744,3.7,西安交通大学,波士顿大学,,320,,97
28700,3.4,浙江大学,波士顿大学,,328,,108
28692,3.2,西安音乐学院,波士顿大学,,,,66
28653,3,DrexelUniversity,波士顿大学,,315,,
28618,3.9,东北林业大学,波士顿大学,650,,,95
28614,3.5,浙江工商大学,波士顿大学,,320,7,
28610,3.47,浙江大学,波士顿大学,,316,,104
28606,2.76,北京理工大学,波士顿大学,,,,80
28584,3.6,浙江大学,波士顿大学,,,,104
28388,3.87,重庆大学,波士顿大学,,319,,113
28370,3.09,四川大学,波士顿大学,,,,80
28344,3.2,湖南大学,波士顿大学,,320,,96
28304,3.25,吉林大学,波士顿大学,,,,87
28270,3.5,华侨大学,波士顿大学,,,,85
28259,3.2,北京大学,波士顿大学,,,,87
28239,3.1,中央财经大学,波士顿大学,,,,100
28117,3.8,武汉大学,波士顿大学,,320,,109
28084,3.2,北方工业大学,波士顿大学,,313,,85
28079,3.35,中央财经大学,波士顿大学,,328,7.5,
28077,3.8,莱斯大学,波士顿大学,,323,,
28075,3.84,北京师范大学,波士顿大学,,328,,108
28036,3.8,中山大学,波士顿大学,,320,,116
27907,3.8,哈尔滨医科大学,波士顿大学,,318,,100
27879,3.2,广东医学院,波士顿大学,,314,,98
27875,3.6,广东外语外贸大学,波士顿大学,700,,7,
27799,3.2,多伦多大学,波士顿大学,,327,,
27657,3.25,上海财经大学,波士顿大学,,,7,
27653,3,北京航空航天大学,波士顿大学,,304,,101
27650,3.6,苏州大学,波士顿大学,,310,7,
27630,3.6,青岛大学,波士顿大学,,,7.5,
27591,3.74,天津财经大学,波士顿大学,,320,7.5,
27486,3.1,东南大学,波士顿大学,,316,7,
27393,3.5,西北工业大学,波士顿大学,,324,7,
27375,3.8,UniversityofNewBrunswick,波士顿大学,530,,,92
27365,3.61,加州大学圣地亚哥分校,波士顿大学,,322,,
27334,3.2,山东大学,波士顿大学,,318,,102
27302,3.5,厦门大学,波士顿大学,730,,,105
27277,2.9,西安电子科技大学,波士顿大学,,320,,95
27247,3.38,BallStateUniversity,波士顿大学,,295,,91
55777,2.75,JamesMadisonUniversity,波士顿大学,,,,
55768,3,SanDiegoStateUniversity,波士顿大学,,,,
55758,3.8,南开大学,波士顿大学,,320,,100
55741,3,UniversityofToronto,波士顿大学,,305,,
55707,3,UniversityofMiami,波士顿大学,,315,,
55701,3,德雷萨尔大学,波士顿大学,,300,,
55687,3,北京邮电大学,波士顿大学,,315,,95
55670,3.5,中国人民大学,波士顿大学,,325,,105
55661,2.5,SouthernMethodistUniversity,波士顿大学,,,,
55628,2.75,UniversityofCalifornia--Irvine,波士顿大学,,320,,
27203,3.14,北京理工大学,波士顿大学,,312,,96
27198,3.38,大连理工大学,波士顿大学,,324,,104
27193,3,北京邮电大学,波士顿大学,,322,,100
27189,3.8,对外经济贸易大学,波士顿大学,,326,,106
27179,3.3,中国人民大学,波士顿大学,,315,,92
27178,3.66,山东大学,波士顿大学,,320,,103
27176,3.7,电子科技大学,波士顿大学,,314,,100
27039,3.4,诺丁汉大学宁波,波士顿大学,,323,,
26979,3,北京邮电大学,波士顿大学,,315,,94
26961,3,湖北美术学院,波士顿大学,,,,74
26960,3.1,华东理工大学,波士顿大学,,315,,92
26943,3.1,加利福尼亚大学,波士顿大学,,,,90
26939,3,科罗拉多大学丹佛分校,波士顿大学,,300,,
26889,3,武汉大学,波士顿大学,,323,,107
26781,3.8,哈尔滨工程大学,波士顿大学,,317,,99
26747,3.8,哈尔滨工程大学,波士顿大学,,314,,99
26736,3.4,广西民族大学,波士顿大学,,316,7,
26623,3.6,哈尔滨医科大学,波士顿大学,,318,,100
26525,3.78,中山大学,波士顿大学,,,,106
26488,3.58,华南理工大学,波士顿大学,,326,,102
26486,3.46,广东工业大学,波士顿大学,,330,,102
26436,3.9,中山大学,波士顿大学,,323,,107
26357,3.3,北京航空航天大学,波士顿大学,,315,,102
26322,3.5,吉林大学,波士顿大学,,310,,102
26259,3.4,安徽大学,波士顿大学,,312,,106
26132,3.4,浙江大学,波士顿大学,,281,,102
26115,3.1,北京航空航天大学,波士顿大学,,316,,102
26082,3.9,中南林业科技大学,波士顿大学,,317,,93
